[(-1062, 1199), (-502, -1521), (1569, 322)]
[(-1027, -86), (442, 931), (590, -845)]
[(-1027, 86), (442, -931), (590, 845)]
[(-732, -1111), (-591, 1192), (1328, -81)]
[(-732, 1111), (-591, -1192), (1328, 81)]
[(-732, 1111), (-591, -1192), (1328, 81)]
[(-1062, 1199), (-502, -1521), (1569, 322)]
[(-1062, 1199), (-502, -1521), (1569, 322)]
[(-600, -1045), (-600, 1045), (1205, 0)]
[(-600, -1045), (-600, 1045), (1205, 0)]
[(-6702, 4589), (-618, -8099), (7325, 3510)]
[(-483, -244), (35, 540), (453, -296)]
[(-483, 244), (35, -540), (453, 296)]
[(-485, -280), (5, 560), (485, -280)]
[(-460, -155), (100, 475), (365, -320)]
[(-472, -371), (-80, 595), (557, -224)]
[(-472, 371), (-80, -595), (557, 224)]
[(-475, -360), (-69, 592), (549, -232)]
[(-475, 360), (-69, -592), (549, 232)]
[(-6738, 4291), (-342, -7981), (7085, 3690)]
[(-420, -475), (-196, 603), (621, -128)]
[(-420, 85), (140, -405), (285, 320)]
[(-420, 475), (-196, -603), (621, 128)]
[(-440, -445), (-160, 605), (605, -160)]
[(-440, 445), (-160, -605), (605, 160)]
[(-359, -322), (-94, 473), (458, -151)]
[(-359, 322), (-94, -473), (458, 151)]
[(-1348, 1199), (-359, -1768), (1712, 569)]
[(-355, -540), (-285, 580), (645, -40)]
[(-355, -20), (163, 316), (197, -296)]
[(-355, 20), (163, -316), (197, 296)]
[(-325, 0), (165, -280), (165, 280)]
[(-355, 540), (-285, -580), (645, 40)]
[(-355, 540), (-285, -580), (645, 40)]
[(-420, 475), (-196, -603), (621, 128)]
[(-420, 475), (-196, -603), (621, 128)]
[(-240, -35), (93, 224), (152, -189)]
[(-240, 35), (93, -224), (152, 189)]
[(-251, -32), (101, 232), (155, -200)]
[(-251, 32), (101, -232), (155, 200)]
[(-124, -43), (29, 128), (100, -85)]
[(-124, 43), (29, -128), (100, 85)]
[(-172, -9), (81, 152), (96, -143)]
[(-172, 9), (81, -152), (96, 143)]
[(-440, 445), (-160, -605), (605, 160)]
[(-160, -45), (45, 160), (120, -115)]
[(-160, 45), (45, -160), (120, 115)]
[(-440, 445), (-160, -605), (605, 160)]
[(-166, -33), (58, 159), (113, -126)]
[(-166, 33), (58, -159), (113, 126)]
[(-472, 371), (-80, -595), (557, 224)]
[(-472, 371), (-80, -595), (557, 224)]
[(-130, -75), (5, 150), (130, -75)]
[(-1678, 1111), (-118, -2009), (1801, 898)]
[(-118, -81), (-6, 143), (129, -62)]
[(-118, 81), (-6, -143), (129, 62)]
[(-1678, 1111), (-118, -2009), (1801, 898)]
[(-34, -13), (10, 35), (29, -22)]
[(-34, 13), (10, -35), (29, 22)]
[(-76, -87), (-32, 111), (113, -24)]
[(-76, 87), (-32, -111), (113, 24)]
[(-30, 35), (-10, -45), (45, 10)]
[(-10, -5), (5, 10), (10, -5)]
[(-30, 35), (-10, -45), (45, 10)]
[(-359, 322), (-94, -473), (458, 151)]
