Date,Price,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,
2000-11-21,86.40432739257812,0.0,135.375,0.0,136.1875,133.515625,134.875,0.0,7684300
2000-11-22,84.33998107910156,0.0,132.140625,0.0,134.875,132.125,134.34375,0.0,5736900
2000-11-24,86.06526947021484,0.0,134.84375,0.0,134.96875,133.625,133.625,0.0,3411600
2000-11-27,86.8232192993164,0.0,136.03125,0.0,136.6875,135.3125,136.46875,0.0,5992000
2000-11-28,85.32730102539062,0.0,133.6875,0.0,136.59375,133.640625,135.125,0.0,5336100
2000-11-29,85.16769409179688,0.0,133.4375,0.0,135.90625,133.265625,134.375,0.0,6914100
2000-11-30,84.4297103881836,0.0,132.28125,0.0,133.5,129.75,132.5,0.0,11201600
2000-12-01,84.38983154296875,0.0,132.21875,0.0,134.0625,131.0,133.1875,0.0,7587200
2000-12-04,85.10786437988281,0.0,133.34375,0.0,133.875,131.5,131.875,0.0,6996600
2000-12-05,87.90027618408203,0.0,137.71875,0.0,138.25,134.40625,134.875,0.0,8883400
2000-12-06,86.49409484863281,0.0,135.515625,0.0,138.34375,135.03125,137.78125,0.0,12888000
2000-12-07,85.3073501586914,0.0,133.65625,0.0,135.875,133.65625,134.875,0.0,6529100
2000-12-08,85.5068130493164,0.0,133.96875,0.0,139.46875,133.875,137.0625,0.0,10276300
2000-12-11,88.47870635986328,0.0,138.625,0.0,139.5625,136.71875,137.375,0.0,6405600
2000-12-12,88.09970092773438,0.0,138.03125,0.0,138.8125,137.375,138.1875,0.0,5022900
2000-12-13,86.89302062988281,0.0,136.140625,0.0,139.40625,136.03125,139.25,0.0,6070500
2000-12-14,85.78607177734375,0.0,134.40625,0.0,136.5,134.03125,135.875,0.0,7678400
2000-12-15,83.84839630126953,0.0,130.96875,0.411,133.125,130.5625,133.125,0.0,9065300
2000-12-18,84.96879577636719,0.0,132.71875,0.0,133.46875,131.765625,132.0625,0.0,7235400
2000-12-19,83.23820495605469,0.0,130.015625,0.0,134.96875,130.015625,132.46875,0.0,9616600
2000-12-20,80.82737731933594,0.0,126.25,0.0,128.9375,126.09375,128.625,0.0,9994300
2000-12-21,81.38758087158203,0.0,127.125,0.0,128.859375,125.53125,126.0,0.0,14331500
2000-12-22,83.82840728759766,0.0,130.9375,0.0,131.109375,128.84375,129.0,0.0,10182900
2000-12-26,84.72874450683594,0.0,132.34375,0.0,132.34375,130.28125,130.84375,0.0,4665300
2000-12-27,85.34893035888672,0.0,133.3125,0.0,133.734375,131.25,131.75,0.0,4854100
2000-12-28,85.60901641845703,0.0,133.71875,0.0,133.875,132.59375,132.8125,0.0,8358700
2000-12-29,83.98847961425781,0.0,131.1875,0.0,134.28125,131.1875,134.0625,0.0,8774600
2001-01-02,82.46796417236328,0.0,128.8125,0.0,132.15625,127.5625,132.0,0.0,8737500
2001-01-03,86.4292984008789,0.0,135.0,0.0,136.0,127.65625,128.3125,0.0,19431600
2001-01-04,85.4990005493164,0.0,133.546875,0.0,135.46875,133.0,134.9375,0.0,9219000
2001-01-05,82.7080307006836,0.0,129.1875,0.0,133.625,129.1875,133.46875,0.0,12911400
2001-01-08,83.34823608398438,0.0,130.1875,0.0,130.1875,127.6875,129.875,0.0,6625300
2001-01-09,83.12814331054688,0.0,129.84375,0.0,131.5,129.421875,131.046875,0.0,5702400
2001-01-10,84.58867645263672,0.0,132.125,0.0,132.125,128.8125,129.0,0.0,8746100
2001-01-11,84.66866302490234,0.0,132.25,0.0,133.484375,131.09375,131.09375,0.0,7245100
